name,location,cuisine,top_dishes,price_for_2,dining_rating,dining_rating_count,delivery_rating,delivery_rating_count,features,price_category,cuisine_list,has_dine_in,has_delivery
The Brownie Studio,Ambattur,"['Bakery', ' Desserts']","['Tiramisu', ' Nutty Brownie', ' Coffee', ' Brownie Cake']",300,4.0,128,3.8,219,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Bakery', ' Desserts']",1,1
Mannah,Kodambakkam,"['Bakery', ' North Indian']","['Chaat', ' Sandwich', ' Chocolate Truffle', ' Sev Puri', ' Veg Puff', ' Choco Mousse', ' Pizza']",800,3.8,108,0.0,0,"['Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",Mid Range,"['Bakery', ' North Indian']",1,0
Chendur,Saidapet,"['South Indian', ' North Indian', ' Chinese']",['Thali'],650,3.9,116,3.8,1426,"['Home Delivery', 'Vegetarian Only', 'Buffet', 'Free Parking', 'Indoor Seating']",Mid Range,"['South Indian', ' North Indian', ' Chinese']",1,1
Amirunnisa Biriyani,Triplicane,['Biryani'],['Mutton Biryani'],250,3.5,127,4.0,582,"['Home Delivery', 'Indoor Seating']",Budget,['Biryani'],1,1
National Bhavan,Sowcarpet,['South Indian'],['Buttermilk'],200,4.0,139,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Budget,['South Indian'],1,0
Rang Mahal,Purasavakkam,"['North Indian', ' Chinese', ' Fast Food']",['Panneer Butter Masala'],800,3.7,118,3.9,986,"['Home Delivery', 'Vegetarian Only', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Buffet']",Mid Range,"['North Indian', ' Chinese', ' Fast Food']",1,1
96 Restaurant,Poonamalle,"['Chinese', ' Chettinad', ' North Indian']",Invalid,500,3.0,125,3.6,6288,"['Home Delivery', 'Indoor Seating']",Affordable,"['Chinese', ' Chettinad', ' North Indian']",1,1
JCS Food Point,Thiruvallur,"['Fast Food', ' Pizza', ' Sandwich', ' Burger']",Invalid,300,3.8,71,4.1,446,"['Home Delivery', 'Indoor Seating']",Budget,"['Fast Food', ' Pizza', ' Sandwich', ' Burger']",1,1
Sri Kumaran Chettinadu Hotel,Thuraipakkam,"['South Indian', ' Chinese', ' Chettinad']",['Noodle'],250,3.7,133,3.6,9627,"['Breakfast', 'Home Delivery', 'Indoor Seating']",Budget,"['South Indian', ' Chinese', ' Chettinad']",1,1
Reddy Andhra Mess,Aminijikarai,"['South Indian', ' Andhra', ' North Indian']",Invalid,300,0.0,0,4.0,3120,['Home Delivery'],Budget,"['South Indian', ' Andhra', ' North Indian']",0,1
Mistletoe-Original Milkshakes,Ramapuram,"['Beverages', ' Desserts', ' Sandwich']",Invalid,250,4.0,122,4.2,951,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",Budget,"['Beverages', ' Desserts', ' Sandwich']",1,1
Hotel Srinivas,Avadi,"['South Indian', ' North Indian', ' Chinese']",Invalid,400,3.9,140,0.0,0,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",Affordable,"['South Indian', ' North Indian', ' Chinese']",1,0
Grill Idan,T. Nagar,"['Chinese', ' BBQ', ' South Indian', ' North Indian']","['Shawarma', ' Fried Rice', ' Tandoori Chicken']",600,3.7,110,3.4,1681,"['Home Delivery', 'Indoor Seating', 'Rooftop']",Affordable,"['Chinese', ' BBQ', ' South Indian', ' North Indian']",1,1
Kareem's Biriyani Paradise,Kodambakkam,"['Biryani', ' Mughlai', ' Chinese', ' North Indian', ' Chettinad']",Invalid,550,3.1,71,3.8,856,"['Home Delivery', 'Indoor Seating']",Affordable,"['Biryani', ' Mughlai', ' Chinese', ' North Indian', ' Chettinad']",1,1
