Name,location,cuisine,top dishes,price for 2,dining rating,dining rating count,delivery rating,delivery rating count,Features,has_dine_in,has_delivery,price category,cuisine_list
Sangeetha Veg Restaurant,Ramapuram,"['South Indian', ' North Indian', ' Chinese', ' Chettinad']","['Coffee', ' Masala Dosa', ' Curd Rice', ' Tomato Soup', ' Paneer Tikka', ' Plain Dosa', ' Vada Curry']",500,2.8,335,4.0,6365,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Affordable,North Indian
Sangeetha Veg Restaurant,Ramapuram,"['South Indian', ' North Indian', ' Chinese', ' Chettinad']","['Coffee', ' Masala Dosa', ' Curd Rice', ' Tomato Soup', ' Paneer Tikka', ' Plain Dosa', ' Vada Curry']",500,2.8,335,4.0,6365,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Affordable,Chinese
Sangeetha Veg Restaurant,Ramapuram,"['South Indian', ' North Indian', ' Chinese', ' Chettinad']","['Coffee', ' Masala Dosa', ' Curd Rice', ' Tomato Soup', ' Paneer Tikka', ' Plain Dosa', ' Vada Curry']",500,2.8,335,4.0,6365,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food']",1,1,Affordable,Chettinad
Sangeetha Veg Restaurant,Thousand Lights,"['South Indian', ' North Indian', ' Chinese']","['Coffee', ' Vada', ' Mint Lime Cooler', ' Noodle', ' Gulab Jamun', ' Naan', ' Idli']",400,3.6,191,4.3,4847,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Valet Parking Available']",1,1,Affordable,South Indian
Sangeetha Veg Restaurant,Thousand Lights,"['South Indian', ' North Indian', ' Chinese']","['Coffee', ' Vada', ' Mint Lime Cooler', ' Noodle', ' Gulab Jamun', ' Naan', ' Idli']",400,3.6,191,4.3,4847,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Valet Parking Available']",1,1,Affordable,North Indian
Sangeetha Veg Restaurant,Thousand Lights,"['South Indian', ' North Indian', ' Chinese']","['Coffee', ' Vada', ' Mint Lime Cooler', ' Noodle', ' Gulab Jamun', ' Naan', ' Idli']",400,3.6,191,4.3,4847,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Valet Parking Available']",1,1,Affordable,Chinese
Sangeetha Veg Restaurant,Vandalur,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Coffee', ' Rava Dosa', ' Idli', ' Masala Dosa', ' Naan', ' Vada']",650,3.0,218,3.8,5403,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Serves Jain Food', 'Table reservation required']",1,1,Mid Range,South Indian
Sangeetha Veg Restaurant,Vandalur,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Coffee', ' Rava Dosa', ' Idli', ' Masala Dosa', ' Naan', ' Vada']",650,3.0,218,3.8,5403,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Serves Jain Food', 'Table reservation required']",1,1,Mid Range,North Indian
Sangeetha Veg Restaurant,Vandalur,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Coffee', ' Rava Dosa', ' Idli', ' Masala Dosa', ' Naan', ' Vada']",650,3.0,218,3.8,5403,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Serves Jain Food', 'Table reservation required']",1,1,Mid Range,Chinese
Sangeetha Veg Restaurant,Vandalur,"['South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Chettinad', ' Mughlai']","['Coffee', ' Rava Dosa', ' Idli', ' Masala Dosa', ' Naan', ' Vada']",650,3.0,218,3.8,5403,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available', 'Serves Jain Food', 'Table reservation required']",1,1,Mid Range,Fast Food
